Started job on	Jan 08 03:09:07
Started mapping on	Jan 08 04:32:34
Finished on	Jan 08 09:39:30
Mapping speed, Million of reads per hour	8.45
Number of input reads	43225810
Average input read length	300
Uniquely mapped reads number	40685605
Uniquely mapped reads %	94.12%
Average mapped length	298.15
Number of splices: Total	45651583
Number of splices: Annotated (sjdb)	45604977
Number of splices: GT/AG	45269268
Number of splices: GC/AG	323718
Number of splices: AT/AC	19041
Number of splices: Non-canonical	39556
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.27
Insertion rate per base	0.01%
Insertion average length	1.59
Number of reads mapped to multiple loci	1678077
% of reads mapped to multiple loci	3.88%
Number of reads mapped to too many loci	3806
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	55877
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	795214
% of reads unmapped: too short	1.84%
Number of reads unmapped: other	7231
% of reads unmapped: other	0.02%
Number of chimeric reads	536014
% of chimeric reads	1.24%
