Started job on	Jan 22 00:20:34
Started mapping on	Jan 22 00:49:58
Finished on	Jan 22 01:47:24
Mapping speed, Million of reads per hour	41.74
Number of input reads	39959041
Average input read length	300
Uniquely mapped reads number	36964705
Uniquely mapped reads %	92.51%
Average mapped length	295.81
Number of splices: Total	33295545
Number of splices: Annotated (sjdb)	33245241
Number of splices: GT/AG	32926759
Number of splices: GC/AG	313885
Number of splices: AT/AC	15468
Number of splices: Non-canonical	39433
Mismatch rate per base, %	0.51%
Deletion rate per base	0.01%
Deletion average length	1.34
Insertion rate per base	0.01%
Insertion average length	1.79
Number of reads mapped to multiple loci	1206701
% of reads mapped to multiple loci	3.02%
Number of reads mapped to too many loci	3453
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	98470
% of reads unmapped: too many mismatches	0.25%
Number of reads unmapped: too short	1676093
% of reads unmapped: too short	4.19%
Number of reads unmapped: other	9619
% of reads unmapped: other	0.02%
Number of chimeric reads	1187674
% of chimeric reads	2.97%
