Started job on	Jan 17 10:53:42
Started mapping on	Jan 17 11:44:58
Finished on	Jan 17 13:32:11
Mapping speed, Million of reads per hour	30.41
Number of input reads	54334999
Average input read length	300
Uniquely mapped reads number	47814161
Uniquely mapped reads %	88.00%
Average mapped length	298.29
Number of splices: Total	43298672
Number of splices: Annotated (sjdb)	43235266
Number of splices: GT/AG	42892068
Number of splices: GC/AG	340657
Number of splices: AT/AC	17514
Number of splices: Non-canonical	48433
Mismatch rate per base, %	0.21%
Deletion rate per base	0.01%
Deletion average length	1.34
Insertion rate per base	0.01%
Insertion average length	1.62
Number of reads mapped to multiple loci	5508967
% of reads mapped to multiple loci	10.14%
Number of reads mapped to too many loci	7024
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	61655
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	926311
% of reads unmapped: too short	1.70%
Number of reads unmapped: other	16881
% of reads unmapped: other	0.03%
Number of chimeric reads	559897
% of chimeric reads	1.03%
