Started job on	Jan 12 19:58:06
Started mapping on	Jan 12 20:36:26
Finished on	Jan 12 21:50:59
Mapping speed, Million of reads per hour	38.12
Number of input reads	47361260
Average input read length	300
Uniquely mapped reads number	40772339
Uniquely mapped reads %	86.09%
Average mapped length	298.08
Number of splices: Total	36719131
Number of splices: Annotated (sjdb)	36665516
Number of splices: GT/AG	36371370
Number of splices: GC/AG	287136
Number of splices: AT/AC	15818
Number of splices: Non-canonical	44807
Mismatch rate per base, %	0.20%
Deletion rate per base	0.01%
Deletion average length	1.35
Insertion rate per base	0.01%
Insertion average length	1.64
Number of reads mapped to multiple loci	5641142
% of reads mapped to multiple loci	11.91%
Number of reads mapped to too many loci	6737
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	49370
% of reads unmapped: too many mismatches	0.10%
Number of reads unmapped: too short	880153
% of reads unmapped: too short	1.86%
Number of reads unmapped: other	11519
% of reads unmapped: other	0.02%
Number of chimeric reads	472340
% of chimeric reads	1.00%
