Started job on	Jan 13 10:31:10
Started mapping on	Jan 13 11:01:43
Finished on	Jan 13 12:04:41
Mapping speed, Million of reads per hour	38.46
Number of input reads	40366431
Average input read length	300
Uniquely mapped reads number	37394214
Uniquely mapped reads %	92.64%
Average mapped length	295.80
Number of splices: Total	33068497
Number of splices: Annotated (sjdb)	33016427
Number of splices: GT/AG	32714728
Number of splices: GC/AG	300242
Number of splices: AT/AC	14368
Number of splices: Non-canonical	39159
Mismatch rate per base, %	0.48%
Deletion rate per base	0.01%
Deletion average length	1.38
Insertion rate per base	0.01%
Insertion average length	1.69
Number of reads mapped to multiple loci	1339982
% of reads mapped to multiple loci	3.32%
Number of reads mapped to too many loci	3605
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	80684
% of reads unmapped: too many mismatches	0.20%
Number of reads unmapped: too short	1538431
% of reads unmapped: too short	3.81%
Number of reads unmapped: other	9515
% of reads unmapped: other	0.02%
Number of chimeric reads	1356654
% of chimeric reads	3.36%
