Started job on	Jan 19 08:04:53
Started mapping on	Jan 19 08:44:08
Finished on	Jan 19 10:08:03
Mapping speed, Million of reads per hour	36.52
Number of input reads	51074681
Average input read length	300
Uniquely mapped reads number	47600071
Uniquely mapped reads %	93.20%
Average mapped length	296.33
Number of splices: Total	43497483
Number of splices: Annotated (sjdb)	43430363
Number of splices: GT/AG	43027252
Number of splices: GC/AG	397568
Number of splices: AT/AC	19568
Number of splices: Non-canonical	53095
Mismatch rate per base, %	0.27%
Deletion rate per base	0.01%
Deletion average length	1.35
Insertion rate per base	0.01%
Insertion average length	1.79
Number of reads mapped to multiple loci	1622567
% of reads mapped to multiple loci	3.18%
Number of reads mapped to too many loci	5209
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	70990
% of reads unmapped: too many mismatches	0.14%
Number of reads unmapped: too short	1763851
% of reads unmapped: too short	3.45%
Number of reads unmapped: other	11993
% of reads unmapped: other	0.02%
Number of chimeric reads	1828692
% of chimeric reads	3.58%
