Started job on	Jan 16 02:10:39
Started mapping on	Jan 16 03:11:52
Finished on	Jan 16 05:14:50
Mapping speed, Million of reads per hour	29.95
Number of input reads	61378229
Average input read length	300
Uniquely mapped reads number	52802113
Uniquely mapped reads %	86.03%
Average mapped length	298.21
Number of splices: Total	49395972
Number of splices: Annotated (sjdb)	49332638
Number of splices: GT/AG	48971146
Number of splices: GC/AG	363405
Number of splices: AT/AC	18034
Number of splices: Non-canonical	43387
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.29
Insertion rate per base	0.01%
Insertion average length	1.61
Number of reads mapped to multiple loci	7408682
% of reads mapped to multiple loci	12.07%
Number of reads mapped to too many loci	8203
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	73396
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	1072013
% of reads unmapped: too short	1.75%
Number of reads unmapped: other	13822
% of reads unmapped: other	0.02%
Number of chimeric reads	483760
% of chimeric reads	0.79%
