Started job on	Jan 16 21:35:24
Started mapping on	Jan 16 22:11:45
Finished on	Jan 16 23:21:00
Mapping speed, Million of reads per hour	38.87
Number of input reads	44859952
Average input read length	300
Uniquely mapped reads number	40013123
Uniquely mapped reads %	89.20%
Average mapped length	298.09
Number of splices: Total	36535946
Number of splices: Annotated (sjdb)	36487448
Number of splices: GT/AG	36191484
Number of splices: GC/AG	294112
Number of splices: AT/AC	16353
Number of splices: Non-canonical	33997
Mismatch rate per base, %	0.22%
Deletion rate per base	0.01%
Deletion average length	1.32
Insertion rate per base	0.01%
Insertion average length	1.65
Number of reads mapped to multiple loci	3714386
% of reads mapped to multiple loci	8.28%
Number of reads mapped to too many loci	6391
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	92053
% of reads unmapped: too many mismatches	0.21%
Number of reads unmapped: too short	1023186
% of reads unmapped: too short	2.28%
Number of reads unmapped: other	10813
% of reads unmapped: other	0.02%
Number of chimeric reads	529814
% of chimeric reads	1.18%
