Started job on	Jan 12 17:54:11
Started mapping on	Jan 12 18:27:38
Finished on	Jan 12 19:38:11
Mapping speed, Million of reads per hour	38.07
Number of input reads	44760418
Average input read length	300
Uniquely mapped reads number	37741158
Uniquely mapped reads %	84.32%
Average mapped length	298.22
Number of splices: Total	33667290
Number of splices: Annotated (sjdb)	33616912
Number of splices: GT/AG	33368835
Number of splices: GC/AG	248672
Number of splices: AT/AC	14964
Number of splices: Non-canonical	34819
Mismatch rate per base, %	0.22%
Deletion rate per base	0.01%
Deletion average length	1.42
Insertion rate per base	0.01%
Insertion average length	1.63
Number of reads mapped to multiple loci	5770989
% of reads mapped to multiple loci	12.89%
Number of reads mapped to too many loci	10338
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	92262
% of reads unmapped: too many mismatches	0.21%
Number of reads unmapped: too short	1132664
% of reads unmapped: too short	2.53%
Number of reads unmapped: other	13007
% of reads unmapped: other	0.03%
Number of chimeric reads	495453
% of chimeric reads	1.11%
