Started job on	Jan 11 04:36:31
Started mapping on	Jan 11 05:34:57
Finished on	Jan 11 07:43:07
Mapping speed, Million of reads per hour	23.90
Number of input reads	51058461
Average input read length	300
Uniquely mapped reads number	44268368
Uniquely mapped reads %	86.70%
Average mapped length	298.35
Number of splices: Total	40362492
Number of splices: Annotated (sjdb)	40308527
Number of splices: GT/AG	40010361
Number of splices: GC/AG	296427
Number of splices: AT/AC	16571
Number of splices: Non-canonical	39133
Mismatch rate per base, %	0.22%
Deletion rate per base	0.01%
Deletion average length	1.33
Insertion rate per base	0.01%
Insertion average length	1.55
Number of reads mapped to multiple loci	5673614
% of reads mapped to multiple loci	11.11%
Number of reads mapped to too many loci	8497
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	103804
% of reads unmapped: too many mismatches	0.20%
Number of reads unmapped: too short	990266
% of reads unmapped: too short	1.94%
Number of reads unmapped: other	13912
% of reads unmapped: other	0.03%
Number of chimeric reads	448445
% of chimeric reads	0.88%
