Started job on	Jan 14 03:47:10
Started mapping on	Jan 14 04:14:30
Finished on	Jan 14 05:01:15
Mapping speed, Million of reads per hour	57.53
Number of input reads	44827434
Average input read length	300
Uniquely mapped reads number	42661430
Uniquely mapped reads %	95.17%
Average mapped length	296.91
Number of splices: Total	37698691
Number of splices: Annotated (sjdb)	37655273
Number of splices: GT/AG	37330580
Number of splices: GC/AG	315210
Number of splices: AT/AC	17042
Number of splices: Non-canonical	35859
Mismatch rate per base, %	0.48%
Deletion rate per base	0.01%
Deletion average length	1.44
Insertion rate per base	0.01%
Insertion average length	1.82
Number of reads mapped to multiple loci	976935
% of reads mapped to multiple loci	2.18%
Number of reads mapped to too many loci	4308
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	63000
% of reads unmapped: too many mismatches	0.14%
Number of reads unmapped: too short	1105922
% of reads unmapped: too short	2.47%
Number of reads unmapped: other	15839
% of reads unmapped: other	0.04%
Number of chimeric reads	555819
% of chimeric reads	1.24%
