Started job on	Jan 18 03:14:54
Started mapping on	Jan 18 04:14:23
Finished on	Jan 18 06:23:58
Mapping speed, Million of reads per hour	32.23
Number of input reads	69597563
Average input read length	300
Uniquely mapped reads number	61940792
Uniquely mapped reads %	89.00%
Average mapped length	298.38
Number of splices: Total	52848717
Number of splices: Annotated (sjdb)	52777028
Number of splices: GT/AG	52366153
Number of splices: GC/AG	408044
Number of splices: AT/AC	24182
Number of splices: Non-canonical	50338
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.35
Insertion rate per base	0.01%
Insertion average length	1.55
Number of reads mapped to multiple loci	6436916
% of reads mapped to multiple loci	9.25%
Number of reads mapped to too many loci	10435
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	78384
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	1114610
% of reads unmapped: too short	1.60%
Number of reads unmapped: other	16426
% of reads unmapped: other	0.02%
Number of chimeric reads	676210
% of chimeric reads	0.97%
