Started job on	Jan 17 23:45:06
Started mapping on	Jan 18 00:40:51
Finished on	Jan 18 02:55:13
Mapping speed, Million of reads per hour	23.91
Number of input reads	53544886
Average input read length	300
Uniquely mapped reads number	44004845
Uniquely mapped reads %	82.18%
Average mapped length	298.14
Number of splices: Total	41528259
Number of splices: Annotated (sjdb)	41470425
Number of splices: GT/AG	41164000
Number of splices: GC/AG	298135
Number of splices: AT/AC	19396
Number of splices: Non-canonical	46728
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.30
Insertion rate per base	0.01%
Insertion average length	1.65
Number of reads mapped to multiple loci	8284666
% of reads mapped to multiple loci	15.47%
Number of reads mapped to too many loci	9594
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	65177
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	1168873
% of reads unmapped: too short	2.18%
Number of reads unmapped: other	11731
% of reads unmapped: other	0.02%
Number of chimeric reads	506794
% of chimeric reads	0.95%
