Started job on	Jan 21 16:11:33
Started mapping on	Jan 21 16:38:29
Finished on	Jan 21 17:31:36
Mapping speed, Million of reads per hour	47.70
Number of input reads	42225481
Average input read length	300
Uniquely mapped reads number	39328553
Uniquely mapped reads %	93.14%
Average mapped length	296.26
Number of splices: Total	36468636
Number of splices: Annotated (sjdb)	36414042
Number of splices: GT/AG	36088477
Number of splices: GC/AG	318552
Number of splices: AT/AC	15971
Number of splices: Non-canonical	45636
Mismatch rate per base, %	0.41%
Deletion rate per base	0.01%
Deletion average length	1.43
Insertion rate per base	0.01%
Insertion average length	1.80
Number of reads mapped to multiple loci	1203590
% of reads mapped to multiple loci	2.85%
Number of reads mapped to too many loci	3867
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	73649
% of reads unmapped: too many mismatches	0.17%
Number of reads unmapped: too short	1603382
% of reads unmapped: too short	3.80%
Number of reads unmapped: other	12440
% of reads unmapped: other	0.03%
Number of chimeric reads	1293180
% of chimeric reads	3.06%
