Started job on	Jan 22 15:54:22
Started mapping on	Jan 22 16:39:12
Finished on	Jan 22 18:20:59
Mapping speed, Million of reads per hour	23.95
Number of input reads	40631869
Average input read length	300
Uniquely mapped reads number	38016185
Uniquely mapped reads %	93.56%
Average mapped length	296.40
Number of splices: Total	35130891
Number of splices: Annotated (sjdb)	35076332
Number of splices: GT/AG	34752996
Number of splices: GC/AG	316129
Number of splices: AT/AC	15099
Number of splices: Non-canonical	46667
Mismatch rate per base, %	0.26%
Deletion rate per base	0.01%
Deletion average length	1.27
Insertion rate per base	0.01%
Insertion average length	1.79
Number of reads mapped to multiple loci	1196345
% of reads mapped to multiple loci	2.94%
Number of reads mapped to too many loci	3994
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	64122
% of reads unmapped: too many mismatches	0.16%
Number of reads unmapped: too short	1344005
% of reads unmapped: too short	3.31%
Number of reads unmapped: other	7218
% of reads unmapped: other	0.02%
Number of chimeric reads	1488576
% of chimeric reads	3.66%
