Started job on	Jan 09 02:51:54
Started mapping on	Jan 09 03:34:47
Finished on	Jan 09 05:00:47
Mapping speed, Million of reads per hour	34.09
Number of input reads	48859061
Average input read length	300
Uniquely mapped reads number	41572705
Uniquely mapped reads %	85.09%
Average mapped length	298.12
Number of splices: Total	35739828
Number of splices: Annotated (sjdb)	35686556
Number of splices: GT/AG	35386829
Number of splices: GC/AG	296689
Number of splices: AT/AC	13902
Number of splices: Non-canonical	42408
Mismatch rate per base, %	0.18%
Deletion rate per base	0.01%
Deletion average length	1.30
Insertion rate per base	0.01%
Insertion average length	1.58
Number of reads mapped to multiple loci	6355384
% of reads mapped to multiple loci	13.01%
Number of reads mapped to too many loci	6979
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	53707
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	857853
% of reads unmapped: too short	1.76%
Number of reads unmapped: other	12433
% of reads unmapped: other	0.03%
Number of chimeric reads	470421
% of chimeric reads	0.96%
