Started job on	Jan 14 01:07:29
Started mapping on	Jan 14 01:49:25
Finished on	Jan 14 03:29:04
Mapping speed, Million of reads per hour	27.56
Number of input reads	45777676
Average input read length	300
Uniquely mapped reads number	40868367
Uniquely mapped reads %	89.28%
Average mapped length	298.15
Number of splices: Total	39201107
Number of splices: Annotated (sjdb)	39154443
Number of splices: GT/AG	38843047
Number of splices: GC/AG	299755
Number of splices: AT/AC	17219
Number of splices: Non-canonical	41086
Mismatch rate per base, %	0.21%
Deletion rate per base	0.01%
Deletion average length	1.31
Insertion rate per base	0.01%
Insertion average length	1.61
Number of reads mapped to multiple loci	3848290
% of reads mapped to multiple loci	8.41%
Number of reads mapped to too many loci	6056
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	91800
% of reads unmapped: too many mismatches	0.20%
Number of reads unmapped: too short	954204
% of reads unmapped: too short	2.08%
Number of reads unmapped: other	8959
% of reads unmapped: other	0.02%
Number of chimeric reads	468922
% of chimeric reads	1.02%
