Started job on	Jan 23 00:40:21
Started mapping on	Jan 23 01:57:44
Finished on	Jan 23 04:43:28
Mapping speed, Million of reads per hour	29.48
Number of input reads	81427477
Average input read length	300
Uniquely mapped reads number	72643247
Uniquely mapped reads %	89.21%
Average mapped length	298.33
Number of splices: Total	63846886
Number of splices: Annotated (sjdb)	63764813
Number of splices: GT/AG	63257781
Number of splices: GC/AG	500594
Number of splices: AT/AC	28868
Number of splices: Non-canonical	59643
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.35
Insertion rate per base	0.01%
Insertion average length	1.55
Number of reads mapped to multiple loci	7347415
% of reads mapped to multiple loci	9.02%
Number of reads mapped to too many loci	11601
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	86307
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	1315409
% of reads unmapped: too short	1.62%
Number of reads unmapped: other	23498
% of reads unmapped: other	0.03%
Number of chimeric reads	807932
% of chimeric reads	0.99%
