Started job on	Jan 19 17:03:37
Started mapping on	Jan 19 18:55:24
Finished on	Jan 20 00:08:06
Mapping speed, Million of reads per hour	8.99
Number of input reads	46858062
Average input read length	300
Uniquely mapped reads number	43927398
Uniquely mapped reads %	93.75%
Average mapped length	297.98
Number of splices: Total	47255128
Number of splices: Annotated (sjdb)	47200941
Number of splices: GT/AG	46836301
Number of splices: GC/AG	348026
Number of splices: AT/AC	20463
Number of splices: Non-canonical	50338
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.26
Insertion rate per base	0.01%
Insertion average length	1.59
Number of reads mapped to multiple loci	2031359
% of reads mapped to multiple loci	4.34%
Number of reads mapped to too many loci	4276
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	59808
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	826787
% of reads unmapped: too short	1.76%
Number of reads unmapped: other	8434
% of reads unmapped: other	0.02%
Number of chimeric reads	608780
% of chimeric reads	1.30%
