Started job on	Jan 14 05:22:11
Started mapping on	Jan 14 06:04:12
Finished on	Jan 14 07:32:27
Mapping speed, Million of reads per hour	31.67
Number of input reads	46576721
Average input read length	300
Uniquely mapped reads number	35653289
Uniquely mapped reads %	76.55%
Average mapped length	298.08
Number of splices: Total	31783494
Number of splices: Annotated (sjdb)	31730027
Number of splices: GT/AG	31485971
Number of splices: GC/AG	237836
Number of splices: AT/AC	13318
Number of splices: Non-canonical	46369
Mismatch rate per base, %	0.20%
Deletion rate per base	0.01%
Deletion average length	1.32
Insertion rate per base	0.01%
Insertion average length	1.68
Number of reads mapped to multiple loci	9939939
% of reads mapped to multiple loci	21.34%
Number of reads mapped to too many loci	10183
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	55246
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	904017
% of reads unmapped: too short	1.94%
Number of reads unmapped: other	14047
% of reads unmapped: other	0.03%
Number of chimeric reads	407244
% of chimeric reads	0.87%
