Started job on	Jan 08 10:02:12
Started mapping on	Jan 08 10:30:27
Finished on	Jan 08 11:27:47
Mapping speed, Million of reads per hour	38.02
Number of input reads	36329240
Average input read length	300
Uniquely mapped reads number	33610787
Uniquely mapped reads %	92.52%
Average mapped length	296.23
Number of splices: Total	30149167
Number of splices: Annotated (sjdb)	30104243
Number of splices: GT/AG	29811622
Number of splices: GC/AG	290976
Number of splices: AT/AC	12256
Number of splices: Non-canonical	34313
Mismatch rate per base, %	0.43%
Deletion rate per base	0.01%
Deletion average length	1.41
Insertion rate per base	0.01%
Insertion average length	1.74
Number of reads mapped to multiple loci	1260470
% of reads mapped to multiple loci	3.47%
Number of reads mapped to too many loci	3230
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	57562
% of reads unmapped: too many mismatches	0.16%
Number of reads unmapped: too short	1388271
% of reads unmapped: too short	3.82%
Number of reads unmapped: other	8920
% of reads unmapped: other	0.02%
Number of chimeric reads	1223003
% of chimeric reads	3.37%
