Started job on	Jan 20 23:22:25
Started mapping on	Jan 21 00:15:58
Finished on	Jan 21 02:14:39
Mapping speed, Million of reads per hour	27.61
Number of input reads	54609780
Average input read length	300
Uniquely mapped reads number	45801363
Uniquely mapped reads %	83.87%
Average mapped length	298.19
Number of splices: Total	41257349
Number of splices: Annotated (sjdb)	41193193
Number of splices: GT/AG	40884101
Number of splices: GC/AG	311588
Number of splices: AT/AC	17088
Number of splices: Non-canonical	44572
Mismatch rate per base, %	0.24%
Deletion rate per base	0.01%
Deletion average length	1.34
Insertion rate per base	0.01%
Insertion average length	1.60
Number of reads mapped to multiple loci	7451206
% of reads mapped to multiple loci	13.64%
Number of reads mapped to too many loci	11455
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	114022
% of reads unmapped: too many mismatches	0.21%
Number of reads unmapped: too short	1216671
% of reads unmapped: too short	2.23%
Number of reads unmapped: other	15063
% of reads unmapped: other	0.03%
Number of chimeric reads	545526
% of chimeric reads	1.00%
