Started job on	Jan 13 15:46:50
Started mapping on	Jan 13 16:32:59
Finished on	Jan 13 18:02:52
Mapping speed, Million of reads per hour	43.76
Number of input reads	65555908
Average input read length	300
Uniquely mapped reads number	58755240
Uniquely mapped reads %	89.63%
Average mapped length	298.45
Number of splices: Total	51734799
Number of splices: Annotated (sjdb)	51666550
Number of splices: GT/AG	51232479
Number of splices: GC/AG	429815
Number of splices: AT/AC	24126
Number of splices: Non-canonical	48379
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.33
Insertion rate per base	0.01%
Insertion average length	1.63
Number of reads mapped to multiple loci	5751528
% of reads mapped to multiple loci	8.77%
Number of reads mapped to too many loci	8260
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	72918
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	953123
% of reads unmapped: too short	1.45%
Number of reads unmapped: other	14839
% of reads unmapped: other	0.02%
Number of chimeric reads	587827
% of chimeric reads	0.90%
