Started job on	Jan 16 11:14:42
Started mapping on	Jan 16 12:20:19
Finished on	Jan 16 14:48:57
Mapping speed, Million of reads per hour	17.75
Number of input reads	43973683
Average input read length	300
Uniquely mapped reads number	41181670
Uniquely mapped reads %	93.65%
Average mapped length	298.09
Number of splices: Total	43031284
Number of splices: Annotated (sjdb)	42984141
Number of splices: GT/AG	42637520
Number of splices: GC/AG	335182
Number of splices: AT/AC	19365
Number of splices: Non-canonical	39217
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.31
Insertion rate per base	0.01%
Insertion average length	1.66
Number of reads mapped to multiple loci	1972320
% of reads mapped to multiple loci	4.49%
Number of reads mapped to too many loci	4330
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	56799
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	748436
% of reads unmapped: too short	1.70%
Number of reads unmapped: other	10128
% of reads unmapped: other	0.02%
Number of chimeric reads	552709
% of chimeric reads	1.26%
