Started job on	Jan 14 15:08:14
Started mapping on	Jan 14 15:54:58
Finished on	Jan 14 17:32:42
Mapping speed, Million of reads per hour	29.06
Number of input reads	47341677
Average input read length	300
Uniquely mapped reads number	40088291
Uniquely mapped reads %	84.68%
Average mapped length	298.23
Number of splices: Total	37498919
Number of splices: Annotated (sjdb)	37446522
Number of splices: GT/AG	37166172
Number of splices: GC/AG	280676
Number of splices: AT/AC	15891
Number of splices: Non-canonical	36180
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.30
Insertion rate per base	0.01%
Insertion average length	1.66
Number of reads mapped to multiple loci	6282981
% of reads mapped to multiple loci	13.27%
Number of reads mapped to too many loci	7459
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	54148
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	897718
% of reads unmapped: too short	1.90%
Number of reads unmapped: other	11080
% of reads unmapped: other	0.02%
Number of chimeric reads	421349
% of chimeric reads	0.89%
