Started job on	Jan 10 00:06:12
Started mapping on	Jan 10 00:38:49
Finished on	Jan 10 01:45:22
Mapping speed, Million of reads per hour	40.09
Number of input reads	44467794
Average input read length	300
Uniquely mapped reads number	40944019
Uniquely mapped reads %	92.08%
Average mapped length	295.85
Number of splices: Total	38370930
Number of splices: Annotated (sjdb)	38312868
Number of splices: GT/AG	37963840
Number of splices: GC/AG	346023
Number of splices: AT/AC	16969
Number of splices: Non-canonical	44098
Mismatch rate per base, %	0.50%
Deletion rate per base	0.01%
Deletion average length	1.43
Insertion rate per base	0.01%
Insertion average length	1.74
Number of reads mapped to multiple loci	1436974
% of reads mapped to multiple loci	3.23%
Number of reads mapped to too many loci	3876
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	75652
% of reads unmapped: too many mismatches	0.17%
Number of reads unmapped: too short	1995401
% of reads unmapped: too short	4.49%
Number of reads unmapped: other	11872
% of reads unmapped: other	0.03%
Number of chimeric reads	1387335
% of chimeric reads	3.12%
