Started job on	Jan 08 17:42:34
Started mapping on	Jan 08 18:06:19
Finished on	Jan 08 18:48:53
Mapping speed, Million of reads per hour	55.87
Number of input reads	39637869
Average input read length	300
Uniquely mapped reads number	37077419
Uniquely mapped reads %	93.54%
Average mapped length	296.50
Number of splices: Total	33112320
Number of splices: Annotated (sjdb)	33057721
Number of splices: GT/AG	32736876
Number of splices: GC/AG	322399
Number of splices: AT/AC	14525
Number of splices: Non-canonical	38520
Mismatch rate per base, %	0.33%
Deletion rate per base	0.01%
Deletion average length	1.44
Insertion rate per base	0.01%
Insertion average length	1.76
Number of reads mapped to multiple loci	1119702
% of reads mapped to multiple loci	2.82%
Number of reads mapped to too many loci	3582
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	46803
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	1380656
% of reads unmapped: too short	3.48%
Number of reads unmapped: other	9707
% of reads unmapped: other	0.02%
Number of chimeric reads	1255353
% of chimeric reads	3.17%
