Started job on	Jan 13 22:07:42
Started mapping on	Jan 13 22:59:42
Finished on	Jan 14 00:48:49
Mapping speed, Million of reads per hour	21.36
Number of input reads	38849872
Average input read length	300
Uniquely mapped reads number	35739224
Uniquely mapped reads %	91.99%
Average mapped length	298.07
Number of splices: Total	37849578
Number of splices: Annotated (sjdb)	37804754
Number of splices: GT/AG	37483359
Number of splices: GC/AG	312870
Number of splices: AT/AC	16534
Number of splices: Non-canonical	36815
Mismatch rate per base, %	0.23%
Deletion rate per base	0.00%
Deletion average length	1.28
Insertion rate per base	0.01%
Insertion average length	1.58
Number of reads mapped to multiple loci	2338716
% of reads mapped to multiple loci	6.02%
Number of reads mapped to too many loci	4095
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	58562
% of reads unmapped: too many mismatches	0.15%
Number of reads unmapped: too short	701881
% of reads unmapped: too short	1.81%
Number of reads unmapped: other	7394
% of reads unmapped: other	0.02%
Number of chimeric reads	479484
% of chimeric reads	1.23%
