Started job on	Jan 10 12:14:19
Started mapping on	Jan 10 13:19:35
Finished on	Jan 10 15:41:30
Mapping speed, Million of reads per hour	25.86
Number of input reads	61159613
Average input read length	300
Uniquely mapped reads number	54250958
Uniquely mapped reads %	88.70%
Average mapped length	298.29
Number of splices: Total	50999175
Number of splices: Annotated (sjdb)	50928285
Number of splices: GT/AG	50525765
Number of splices: GC/AG	388118
Number of splices: AT/AC	21272
Number of splices: Non-canonical	64020
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.31
Insertion rate per base	0.01%
Insertion average length	1.58
Number of reads mapped to multiple loci	5847889
% of reads mapped to multiple loci	9.56%
Number of reads mapped to too many loci	7874
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	72788
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	965942
% of reads unmapped: too short	1.58%
Number of reads unmapped: other	14162
% of reads unmapped: other	0.02%
Number of chimeric reads	619627
% of chimeric reads	1.01%
