Started job on	Jan 20 00:31:51
Started mapping on	Jan 20 01:10:23
Finished on	Jan 20 02:34:56
Mapping speed, Million of reads per hour	37.51
Number of input reads	52861871
Average input read length	300
Uniquely mapped reads number	48909056
Uniquely mapped reads %	92.52%
Average mapped length	295.79
Number of splices: Total	44008200
Number of splices: Annotated (sjdb)	43943850
Number of splices: GT/AG	43518158
Number of splices: GC/AG	419337
Number of splices: AT/AC	19644
Number of splices: Non-canonical	51061
Mismatch rate per base, %	0.50%
Deletion rate per base	0.01%
Deletion average length	1.43
Insertion rate per base	0.01%
Insertion average length	1.70
Number of reads mapped to multiple loci	1530917
% of reads mapped to multiple loci	2.90%
Number of reads mapped to too many loci	4300
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	98093
% of reads unmapped: too many mismatches	0.19%
Number of reads unmapped: too short	2305195
% of reads unmapped: too short	4.36%
Number of reads unmapped: other	14310
% of reads unmapped: other	0.03%
Number of chimeric reads	1627190
% of chimeric reads	3.08%
