Started job on	Jan 19 14:35:30
Started mapping on	Jan 19 15:14:57
Finished on	Jan 19 16:46:33
Mapping speed, Million of reads per hour	29.27
Number of input reads	44689809
Average input read length	300
Uniquely mapped reads number	36025591
Uniquely mapped reads %	80.61%
Average mapped length	298.08
Number of splices: Total	30721430
Number of splices: Annotated (sjdb)	30672957
Number of splices: GT/AG	30410267
Number of splices: GC/AG	259512
Number of splices: AT/AC	12878
Number of splices: Non-canonical	38773
Mismatch rate per base, %	0.18%
Deletion rate per base	0.01%
Deletion average length	1.28
Insertion rate per base	0.01%
Insertion average length	1.57
Number of reads mapped to multiple loci	7677111
% of reads mapped to multiple loci	17.18%
Number of reads mapped to too many loci	9589
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	56412
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	909814
% of reads unmapped: too short	2.04%
Number of reads unmapped: other	11292
% of reads unmapped: other	0.03%
Number of chimeric reads	450272
% of chimeric reads	1.01%
