Started job on	Jan 09 22:50:47
Started mapping on	Jan 09 23:16:14
Finished on	Jan 09 23:58:01
Mapping speed, Million of reads per hour	27.47
Number of input reads	19128246
Average input read length	300
Uniquely mapped reads number	17720049
Uniquely mapped reads %	92.64%
Average mapped length	298.06
Number of splices: Total	17974158
Number of splices: Annotated (sjdb)	17953376
Number of splices: GT/AG	17798161
Number of splices: GC/AG	148543
Number of splices: AT/AC	8790
Number of splices: Non-canonical	18664
Mismatch rate per base, %	0.23%
Deletion rate per base	0.00%
Deletion average length	1.21
Insertion rate per base	0.01%
Insertion average length	1.55
Number of reads mapped to multiple loci	915347
% of reads mapped to multiple loci	4.79%
Number of reads mapped to too many loci	2069
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	51282
% of reads unmapped: too many mismatches	0.27%
Number of reads unmapped: too short	435561
% of reads unmapped: too short	2.28%
Number of reads unmapped: other	3938
% of reads unmapped: other	0.02%
Number of chimeric reads	221193
% of chimeric reads	1.16%
