Started job on	Jan 21 14:06:58
Started mapping on	Jan 21 14:42:29
Finished on	Jan 21 15:57:49
Mapping speed, Million of reads per hour	35.37
Number of input reads	44405301
Average input read length	300
Uniquely mapped reads number	35377040
Uniquely mapped reads %	79.67%
Average mapped length	298.24
Number of splices: Total	29282999
Number of splices: Annotated (sjdb)	29236504
Number of splices: GT/AG	28994107
Number of splices: GC/AG	240050
Number of splices: AT/AC	11876
Number of splices: Non-canonical	36966
Mismatch rate per base, %	0.20%
Deletion rate per base	0.01%
Deletion average length	1.31
Insertion rate per base	0.01%
Insertion average length	1.60
Number of reads mapped to multiple loci	8129280
% of reads mapped to multiple loci	18.31%
Number of reads mapped to too many loci	9038
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	51771
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	826485
% of reads unmapped: too short	1.86%
Number of reads unmapped: other	11687
% of reads unmapped: other	0.03%
Number of chimeric reads	369493
% of chimeric reads	0.83%
