Started job on	Jan 07 06:58:47
Started mapping on	Jan 07 08:00:50
Finished on	Jan 07 10:28:13
Mapping speed, Million of reads per hour	24.89
Number of input reads	61137992
Average input read length	300
Uniquely mapped reads number	55114632
Uniquely mapped reads %	90.15%
Average mapped length	297.82
Number of splices: Total	56750610
Number of splices: Annotated (sjdb)	56674531
Number of splices: GT/AG	56223896
Number of splices: GC/AG	446034
Number of splices: AT/AC	25203
Number of splices: Non-canonical	55477
Mismatch rate per base, %	0.18%
Deletion rate per base	0.01%
Deletion average length	1.34
Insertion rate per base	0.01%
Insertion average length	1.66
Number of reads mapped to multiple loci	4593552
% of reads mapped to multiple loci	7.51%
Number of reads mapped to too many loci	6872
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	76841
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	1332315
% of reads unmapped: too short	2.18%
Number of reads unmapped: other	13780
% of reads unmapped: other	0.02%
Number of chimeric reads	843524
% of chimeric reads	1.38%
