Started job on	Jan 09 15:14:51
Started mapping on	Jan 09 15:44:20
Finished on	Jan 09 16:39:44
Mapping speed, Million of reads per hour	44.02
Number of input reads	40646845
Average input read length	300
Uniquely mapped reads number	37849903
Uniquely mapped reads %	93.12%
Average mapped length	296.52
Number of splices: Total	32632812
Number of splices: Annotated (sjdb)	32581017
Number of splices: GT/AG	32255881
Number of splices: GC/AG	320529
Number of splices: AT/AC	14604
Number of splices: Non-canonical	41798
Mismatch rate per base, %	0.28%
Deletion rate per base	0.01%
Deletion average length	1.47
Insertion rate per base	0.01%
Insertion average length	1.76
Number of reads mapped to multiple loci	1323701
% of reads mapped to multiple loci	3.26%
Number of reads mapped to too many loci	4047
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	43732
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	1417415
% of reads unmapped: too short	3.49%
Number of reads unmapped: other	8047
% of reads unmapped: other	0.02%
Number of chimeric reads	1320791
% of chimeric reads	3.25%
