Started job on	Jan 13 20:27:26
Started mapping on	Jan 13 20:53:58
Finished on	Jan 13 21:43:53
Mapping speed, Million of reads per hour	43.24
Number of input reads	35975773
Average input read length	300
Uniquely mapped reads number	33928922
Uniquely mapped reads %	94.31%
Average mapped length	296.77
Number of splices: Total	30058904
Number of splices: Annotated (sjdb)	30019807
Number of splices: GT/AG	29767984
Number of splices: GC/AG	242989
Number of splices: AT/AC	13180
Number of splices: Non-canonical	34751
Mismatch rate per base, %	0.48%
Deletion rate per base	0.01%
Deletion average length	1.44
Insertion rate per base	0.01%
Insertion average length	1.78
Number of reads mapped to multiple loci	877706
% of reads mapped to multiple loci	2.44%
Number of reads mapped to too many loci	2723
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	51823
% of reads unmapped: too many mismatches	0.14%
Number of reads unmapped: too short	1100506
% of reads unmapped: too short	3.06%
Number of reads unmapped: other	14093
% of reads unmapped: other	0.04%
Number of chimeric reads	617029
% of chimeric reads	1.72%
