Started job on	Jan 20 19:44:56
Started mapping on	Jan 20 20:07:15
Finished on	Jan 20 20:46:47
Mapping speed, Million of reads per hour	56.16
Number of input reads	37005575
Average input read length	300
Uniquely mapped reads number	34205869
Uniquely mapped reads %	92.43%
Average mapped length	295.73
Number of splices: Total	30339204
Number of splices: Annotated (sjdb)	30293823
Number of splices: GT/AG	29974683
Number of splices: GC/AG	310718
Number of splices: AT/AC	14620
Number of splices: Non-canonical	39183
Mismatch rate per base, %	0.51%
Deletion rate per base	0.01%
Deletion average length	1.35
Insertion rate per base	0.01%
Insertion average length	1.76
Number of reads mapped to multiple loci	1101696
% of reads mapped to multiple loci	2.98%
Number of reads mapped to too many loci	3075
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	83193
% of reads unmapped: too many mismatches	0.22%
Number of reads unmapped: too short	1603441
% of reads unmapped: too short	4.33%
Number of reads unmapped: other	8301
% of reads unmapped: other	0.02%
Number of chimeric reads	1122935
% of chimeric reads	3.03%
