Started job on	Jan 15 14:43:18
Started mapping on	Jan 15 15:17:12
Finished on	Jan 15 16:19:22
Mapping speed, Million of reads per hour	47.59
Number of input reads	49304166
Average input read length	300
Uniquely mapped reads number	41340435
Uniquely mapped reads %	83.85%
Average mapped length	298.29
Number of splices: Total	33769394
Number of splices: Annotated (sjdb)	33717947
Number of splices: GT/AG	33421690
Number of splices: GC/AG	298536
Number of splices: AT/AC	13731
Number of splices: Non-canonical	35437
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.28
Insertion rate per base	0.01%
Insertion average length	1.57
Number of reads mapped to multiple loci	7071820
% of reads mapped to multiple loci	14.34%
Number of reads mapped to too many loci	8692
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	54283
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	817052
% of reads unmapped: too short	1.66%
Number of reads unmapped: other	11884
% of reads unmapped: other	0.02%
Number of chimeric reads	427885
% of chimeric reads	0.87%
