Started job on	Jan 15 21:47:38
Started mapping on	Jan 15 22:10:27
Finished on	Jan 15 22:48:22
Mapping speed, Million of reads per hour	53.26
Number of input reads	33658884
Average input read length	300
Uniquely mapped reads number	31700913
Uniquely mapped reads %	94.18%
Average mapped length	296.73
Number of splices: Total	26659276
Number of splices: Annotated (sjdb)	26628615
Number of splices: GT/AG	26394014
Number of splices: GC/AG	228601
Number of splices: AT/AC	12031
Number of splices: Non-canonical	24630
Mismatch rate per base, %	0.52%
Deletion rate per base	0.01%
Deletion average length	1.50
Insertion rate per base	0.01%
Insertion average length	1.81
Number of reads mapped to multiple loci	773134
% of reads mapped to multiple loci	2.30%
Number of reads mapped to too many loci	2975
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	53688
% of reads unmapped: too many mismatches	0.16%
Number of reads unmapped: too short	1114840
% of reads unmapped: too short	3.31%
Number of reads unmapped: other	13334
% of reads unmapped: other	0.04%
Number of chimeric reads	521905
% of chimeric reads	1.55%
