Started job on	Jan 11 08:00:53
Started mapping on	Jan 11 08:43:05
Finished on	Jan 11 10:07:38
Mapping speed, Million of reads per hour	35.01
Number of input reads	49331489
Average input read length	300
Uniquely mapped reads number	42668186
Uniquely mapped reads %	86.49%
Average mapped length	298.06
Number of splices: Total	36501312
Number of splices: Annotated (sjdb)	36451624
Number of splices: GT/AG	36144743
Number of splices: GC/AG	304035
Number of splices: AT/AC	14932
Number of splices: Non-canonical	37602
Mismatch rate per base, %	0.22%
Deletion rate per base	0.01%
Deletion average length	1.27
Insertion rate per base	0.01%
Insertion average length	1.59
Number of reads mapped to multiple loci	5730741
% of reads mapped to multiple loci	11.62%
Number of reads mapped to too many loci	7174
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	63077
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	850729
% of reads unmapped: too short	1.72%
Number of reads unmapped: other	11582
% of reads unmapped: other	0.02%
Number of chimeric reads	445067
% of chimeric reads	0.90%
