Started job on	Jan 09 11:21:28
Started mapping on	Jan 09 12:27:08
Finished on	Jan 09 14:54:56
Mapping speed, Million of reads per hour	16.18
Number of input reads	39858581
Average input read length	300
Uniquely mapped reads number	36754078
Uniquely mapped reads %	92.21%
Average mapped length	298.16
Number of splices: Total	38906949
Number of splices: Annotated (sjdb)	38862698
Number of splices: GT/AG	38560108
Number of splices: GC/AG	296009
Number of splices: AT/AC	16228
Number of splices: Non-canonical	34604
Mismatch rate per base, %	0.18%
Deletion rate per base	0.01%
Deletion average length	1.25
Insertion rate per base	0.01%
Insertion average length	1.56
Number of reads mapped to multiple loci	2414490
% of reads mapped to multiple loci	6.06%
Number of reads mapped to too many loci	4613
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	45056
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	634366
% of reads unmapped: too short	1.59%
Number of reads unmapped: other	5978
% of reads unmapped: other	0.01%
Number of chimeric reads	493214
% of chimeric reads	1.24%
