Started job on	Jan 10 16:04:32
Started mapping on	Jan 10 17:07:57
Finished on	Jan 10 19:40:15
Mapping speed, Million of reads per hour	20.80
Number of input reads	52791532
Average input read length	300
Uniquely mapped reads number	48353021
Uniquely mapped reads %	91.59%
Average mapped length	297.96
Number of splices: Total	50950482
Number of splices: Annotated (sjdb)	50890093
Number of splices: GT/AG	50488524
Number of splices: GC/AG	390970
Number of splices: AT/AC	22429
Number of splices: Non-canonical	48559
Mismatch rate per base, %	0.17%
Deletion rate per base	0.01%
Deletion average length	1.31
Insertion rate per base	0.01%
Insertion average length	1.63
Number of reads mapped to multiple loci	3408915
% of reads mapped to multiple loci	6.46%
Number of reads mapped to too many loci	5663
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	64025
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	950394
% of reads unmapped: too short	1.80%
Number of reads unmapped: other	9514
% of reads unmapped: other	0.02%
Number of chimeric reads	712865
% of chimeric reads	1.35%
