Started job on	Jan 15 16:35:51
Started mapping on	Jan 15 18:03:22
Finished on	Jan 15 21:28:17
Mapping speed, Million of reads per hour	10.58
Number of input reads	36146992
Average input read length	300
Uniquely mapped reads number	33566144
Uniquely mapped reads %	92.86%
Average mapped length	298.00
Number of splices: Total	35145265
Number of splices: Annotated (sjdb)	35105735
Number of splices: GT/AG	34840794
Number of splices: GC/AG	253154
Number of splices: AT/AC	15019
Number of splices: Non-canonical	36298
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.26
Insertion rate per base	0.01%
Insertion average length	1.61
Number of reads mapped to multiple loci	1907716
% of reads mapped to multiple loci	5.28%
Number of reads mapped to too many loci	4130
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	47518
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	615408
% of reads unmapped: too short	1.70%
Number of reads unmapped: other	6076
% of reads unmapped: other	0.02%
Number of chimeric reads	465421
% of chimeric reads	1.29%
