Started job on	Jan 15 08:51:06
Started mapping on	Jan 15 09:30:19
Finished on	Jan 15 10:47:38
Mapping speed, Million of reads per hour	36.13
Number of input reads	46556370
Average input read length	300
Uniquely mapped reads number	38478390
Uniquely mapped reads %	82.65%
Average mapped length	298.23
Number of splices: Total	33769127
Number of splices: Annotated (sjdb)	33723478
Number of splices: GT/AG	33436325
Number of splices: GC/AG	285977
Number of splices: AT/AC	14162
Number of splices: Non-canonical	32663
Mismatch rate per base, %	0.20%
Deletion rate per base	0.01%
Deletion average length	1.27
Insertion rate per base	0.01%
Insertion average length	1.61
Number of reads mapped to multiple loci	7030177
% of reads mapped to multiple loci	15.10%
Number of reads mapped to too many loci	7419
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	62684
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	964782
% of reads unmapped: too short	2.07%
Number of reads unmapped: other	12918
% of reads unmapped: other	0.03%
Number of chimeric reads	406614
% of chimeric reads	0.87%
