Started job on	Jan 20 21:26:33
Started mapping on	Jan 20 22:00:49
Finished on	Jan 20 23:08:57
Mapping speed, Million of reads per hour	39.65
Number of input reads	45026398
Average input read length	300
Uniquely mapped reads number	35266752
Uniquely mapped reads %	78.32%
Average mapped length	298.10
Number of splices: Total	30847206
Number of splices: Annotated (sjdb)	30797934
Number of splices: GT/AG	30543623
Number of splices: GC/AG	252473
Number of splices: AT/AC	13093
Number of splices: Non-canonical	38017
Mismatch rate per base, %	0.21%
Deletion rate per base	0.01%
Deletion average length	1.37
Insertion rate per base	0.01%
Insertion average length	1.58
Number of reads mapped to multiple loci	8777692
% of reads mapped to multiple loci	19.49%
Number of reads mapped to too many loci	7511
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	47962
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	915193
% of reads unmapped: too short	2.03%
Number of reads unmapped: other	11288
% of reads unmapped: other	0.03%
Number of chimeric reads	374853
% of chimeric reads	0.83%
