Started job on	Jan 11 10:23:07
Started mapping on	Jan 11 11:20:35
Finished on	Jan 11 13:38:49
Mapping speed, Million of reads per hour	30.40
Number of input reads	70045270
Average input read length	300
Uniquely mapped reads number	62351894
Uniquely mapped reads %	89.02%
Average mapped length	298.23
Number of splices: Total	56945721
Number of splices: Annotated (sjdb)	56867833
Number of splices: GT/AG	56407871
Number of splices: GC/AG	460216
Number of splices: AT/AC	23691
Number of splices: Non-canonical	53943
Mismatch rate per base, %	0.23%
Deletion rate per base	0.01%
Deletion average length	1.39
Insertion rate per base	0.01%
Insertion average length	1.56
Number of reads mapped to multiple loci	6179494
% of reads mapped to multiple loci	8.82%
Number of reads mapped to too many loci	9850
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	114607
% of reads unmapped: too many mismatches	0.16%
Number of reads unmapped: too short	1374537
% of reads unmapped: too short	1.96%
Number of reads unmapped: other	14888
% of reads unmapped: other	0.02%
Number of chimeric reads	755380
% of chimeric reads	1.08%
