Started job on	Jan 21 02:35:43
Started mapping on	Jan 21 03:24:20
Finished on	Jan 21 05:06:12
Mapping speed, Million of reads per hour	31.16
Number of input reads	52895166
Average input read length	300
Uniquely mapped reads number	47084494
Uniquely mapped reads %	89.01%
Average mapped length	298.48
Number of splices: Total	42504012
Number of splices: Annotated (sjdb)	42450542
Number of splices: GT/AG	42110582
Number of splices: GC/AG	334772
Number of splices: AT/AC	17681
Number of splices: Non-canonical	40977
Mismatch rate per base, %	0.18%
Deletion rate per base	0.01%
Deletion average length	1.29
Insertion rate per base	0.01%
Insertion average length	1.63
Number of reads mapped to multiple loci	5032447
% of reads mapped to multiple loci	9.51%
Number of reads mapped to too many loci	7721
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	59568
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	699159
% of reads unmapped: too short	1.32%
Number of reads unmapped: other	11777
% of reads unmapped: other	0.02%
Number of chimeric reads	454163
% of chimeric reads	0.86%
