Started job on	Jan 22 22:17:37
Started mapping on	Jan 22 22:45:45
Finished on	Jan 22 23:38:53
Mapping speed, Million of reads per hour	50.50
Number of input reads	44723230
Average input read length	300
Uniquely mapped reads number	41789294
Uniquely mapped reads %	93.44%
Average mapped length	296.58
Number of splices: Total	35088169
Number of splices: Annotated (sjdb)	35031352
Number of splices: GT/AG	34703927
Number of splices: GC/AG	328105
Number of splices: AT/AC	16313
Number of splices: Non-canonical	39824
Mismatch rate per base, %	0.31%
Deletion rate per base	0.01%
Deletion average length	1.51
Insertion rate per base	0.01%
Insertion average length	1.74
Number of reads mapped to multiple loci	1315255
% of reads mapped to multiple loci	2.94%
Number of reads mapped to too many loci	3612
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	40763
% of reads unmapped: too many mismatches	0.09%
Number of reads unmapped: too short	1561612
% of reads unmapped: too short	3.49%
Number of reads unmapped: other	12694
% of reads unmapped: other	0.03%
Number of chimeric reads	1441266
% of chimeric reads	3.22%
