Started job on	Jan 18 22:02:09
Started mapping on	Jan 18 23:12:39
Finished on	Jan 19 02:03:47
Mapping speed, Million of reads per hour	16.35
Number of input reads	46630682
Average input read length	300
Uniquely mapped reads number	44368574
Uniquely mapped reads %	95.15%
Average mapped length	298.08
Number of splices: Total	46748122
Number of splices: Annotated (sjdb)	46693754
Number of splices: GT/AG	46321774
Number of splices: GC/AG	360523
Number of splices: AT/AC	21703
Number of splices: Non-canonical	44122
Mismatch rate per base, %	0.18%
Deletion rate per base	0.01%
Deletion average length	1.26
Insertion rate per base	0.01%
Insertion average length	1.59
Number of reads mapped to multiple loci	1471720
% of reads mapped to multiple loci	3.16%
Number of reads mapped to too many loci	3753
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	54957
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	723472
% of reads unmapped: too short	1.55%
Number of reads unmapped: other	8206
% of reads unmapped: other	0.02%
Number of chimeric reads	627994
% of chimeric reads	1.35%
