Started job on	Jan 11 02:25:17
Started mapping on	Jan 11 02:54:02
Finished on	Jan 11 03:55:41
Mapping speed, Million of reads per hour	36.06
Number of input reads	37051447
Average input read length	300
Uniquely mapped reads number	34763262
Uniquely mapped reads %	93.82%
Average mapped length	296.73
Number of splices: Total	32988249
Number of splices: Annotated (sjdb)	32939510
Number of splices: GT/AG	32634494
Number of splices: GC/AG	302528
Number of splices: AT/AC	14566
Number of splices: Non-canonical	36661
Mismatch rate per base, %	0.33%
Deletion rate per base	0.01%
Deletion average length	1.44
Insertion rate per base	0.01%
Insertion average length	1.72
Number of reads mapped to multiple loci	1137396
% of reads mapped to multiple loci	3.07%
Number of reads mapped to too many loci	2896
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	49271
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	1090499
% of reads unmapped: too short	2.94%
Number of reads unmapped: other	8123
% of reads unmapped: other	0.02%
Number of chimeric reads	1090890
% of chimeric reads	2.94%
