Started job on	Jan 19 04:56:14
Started mapping on	Jan 19 05:47:02
Finished on	Jan 19 07:43:48
Mapping speed, Million of reads per hour	21.41
Number of input reads	41668386
Average input read length	300
Uniquely mapped reads number	37945990
Uniquely mapped reads %	91.07%
Average mapped length	298.08
Number of splices: Total	40044395
Number of splices: Annotated (sjdb)	39996563
Number of splices: GT/AG	39679784
Number of splices: GC/AG	305306
Number of splices: AT/AC	17678
Number of splices: Non-canonical	41627
Mismatch rate per base, %	0.18%
Deletion rate per base	0.01%
Deletion average length	1.24
Insertion rate per base	0.01%
Insertion average length	1.60
Number of reads mapped to multiple loci	2963003
% of reads mapped to multiple loci	7.11%
Number of reads mapped to too many loci	5811
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	62666
% of reads unmapped: too many mismatches	0.15%
Number of reads unmapped: too short	682698
% of reads unmapped: too short	1.64%
Number of reads unmapped: other	8218
% of reads unmapped: other	0.02%
Number of chimeric reads	544566
% of chimeric reads	1.31%
