Started job on	Jan 17 19:40:59
Started mapping on	Jan 17 20:14:26
Finished on	Jan 17 21:24:04
Mapping speed, Million of reads per hour	38.94
Number of input reads	45193837
Average input read length	300
Uniquely mapped reads number	39523296
Uniquely mapped reads %	87.45%
Average mapped length	298.42
Number of splices: Total	36142019
Number of splices: Annotated (sjdb)	36088922
Number of splices: GT/AG	35805250
Number of splices: GC/AG	285484
Number of splices: AT/AC	15494
Number of splices: Non-canonical	35791
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.38
Insertion rate per base	0.01%
Insertion average length	1.73
Number of reads mapped to multiple loci	4957393
% of reads mapped to multiple loci	10.97%
Number of reads mapped to too many loci	6780
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	44295
% of reads unmapped: too many mismatches	0.10%
Number of reads unmapped: too short	651027
% of reads unmapped: too short	1.44%
Number of reads unmapped: other	11046
% of reads unmapped: other	0.02%
Number of chimeric reads	409876
% of chimeric reads	0.91%
