Started job on	Jan 20 03:35:46
Started mapping on	Jan 20 04:03:05
Finished on	Jan 20 04:56:38
Mapping speed, Million of reads per hour	38.47
Number of input reads	34334035
Average input read length	300
Uniquely mapped reads number	31699646
Uniquely mapped reads %	92.33%
Average mapped length	296.36
Number of splices: Total	28786848
Number of splices: Annotated (sjdb)	28740472
Number of splices: GT/AG	28499796
Number of splices: GC/AG	241516
Number of splices: AT/AC	12440
Number of splices: Non-canonical	33096
Mismatch rate per base, %	0.42%
Deletion rate per base	0.01%
Deletion average length	1.44
Insertion rate per base	0.01%
Insertion average length	1.76
Number of reads mapped to multiple loci	1298239
% of reads mapped to multiple loci	3.78%
Number of reads mapped to too many loci	3315
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	47092
% of reads unmapped: too many mismatches	0.14%
Number of reads unmapped: too short	1277079
% of reads unmapped: too short	3.72%
Number of reads unmapped: other	8664
% of reads unmapped: other	0.03%
Number of chimeric reads	1064809
% of chimeric reads	3.10%
