Started job on	Jan 13 03:50:40
Started mapping on	Jan 13 04:22:26
Finished on	Jan 13 05:20:43
Mapping speed, Million of reads per hour	51.91
Number of input reads	50427685
Average input read length	300
Uniquely mapped reads number	43659089
Uniquely mapped reads %	86.58%
Average mapped length	298.17
Number of splices: Total	39119733
Number of splices: Annotated (sjdb)	39070880
Number of splices: GT/AG	38734936
Number of splices: GC/AG	326734
Number of splices: AT/AC	17436
Number of splices: Non-canonical	40627
Mismatch rate per base, %	0.28%
Deletion rate per base	0.01%
Deletion average length	1.33
Insertion rate per base	0.01%
Insertion average length	1.65
Number of reads mapped to multiple loci	5375763
% of reads mapped to multiple loci	10.66%
Number of reads mapped to too many loci	7535
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	135592
% of reads unmapped: too many mismatches	0.27%
Number of reads unmapped: too short	1232069
% of reads unmapped: too short	2.44%
Number of reads unmapped: other	17637
% of reads unmapped: other	0.03%
Number of chimeric reads	397190
% of chimeric reads	0.79%
