Started job on	Jan 22 13:05:51
Started mapping on	Jan 22 13:50:07
Finished on	Jan 22 15:36:27
Mapping speed, Million of reads per hour	26.59
Number of input reads	47122094
Average input read length	300
Uniquely mapped reads number	40247950
Uniquely mapped reads %	85.41%
Average mapped length	298.17
Number of splices: Total	37960704
Number of splices: Annotated (sjdb)	37901344
Number of splices: GT/AG	37604728
Number of splices: GC/AG	298342
Number of splices: AT/AC	15647
Number of splices: Non-canonical	41987
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.32
Insertion rate per base	0.01%
Insertion average length	1.59
Number of reads mapped to multiple loci	5937563
% of reads mapped to multiple loci	12.60%
Number of reads mapped to too many loci	6885
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	49854
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	867689
% of reads unmapped: too short	1.84%
Number of reads unmapped: other	12153
% of reads unmapped: other	0.03%
Number of chimeric reads	441329
% of chimeric reads	0.94%
