Started job on	Jan 22 19:16:04
Started mapping on	Jan 22 20:03:30
Finished on	Jan 22 21:54:03
Mapping speed, Million of reads per hour	24.25
Number of input reads	44688071
Average input read length	300
Uniquely mapped reads number	41330295
Uniquely mapped reads %	92.49%
Average mapped length	297.96
Number of splices: Total	41983313
Number of splices: Annotated (sjdb)	41933440
Number of splices: GT/AG	41581586
Number of splices: GC/AG	346795
Number of splices: AT/AC	19435
Number of splices: Non-canonical	35497
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.24
Insertion rate per base	0.01%
Insertion average length	1.58
Number of reads mapped to multiple loci	2489090
% of reads mapped to multiple loci	5.57%
Number of reads mapped to too many loci	4283
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	60498
% of reads unmapped: too many mismatches	0.14%
Number of reads unmapped: too short	794898
% of reads unmapped: too short	1.78%
Number of reads unmapped: other	9007
% of reads unmapped: other	0.02%
Number of chimeric reads	598424
% of chimeric reads	1.34%
