Started job on	Jan 15 12:26:52
Started mapping on	Jan 15 13:05:43
Finished on	Jan 15 14:23:14
Mapping speed, Million of reads per hour	41.84
Number of input reads	54050478
Average input read length	300
Uniquely mapped reads number	43703005
Uniquely mapped reads %	80.86%
Average mapped length	298.22
Number of splices: Total	37966330
Number of splices: Annotated (sjdb)	37900342
Number of splices: GT/AG	37578693
Number of splices: GC/AG	320496
Number of splices: AT/AC	15958
Number of splices: Non-canonical	51183
Mismatch rate per base, %	0.20%
Deletion rate per base	0.01%
Deletion average length	1.33
Insertion rate per base	0.01%
Insertion average length	1.55
Number of reads mapped to multiple loci	9051333
% of reads mapped to multiple loci	16.75%
Number of reads mapped to too many loci	10398
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	65397
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	1199653
% of reads unmapped: too short	2.22%
Number of reads unmapped: other	20692
% of reads unmapped: other	0.04%
Number of chimeric reads	516200
% of chimeric reads	0.96%
