Started job on	Jan 17 13:53:02
Started mapping on	Jan 17 14:18:49
Finished on	Jan 17 15:09:34
Mapping speed, Million of reads per hour	44.77
Number of input reads	37867662
Average input read length	300
Uniquely mapped reads number	35232261
Uniquely mapped reads %	93.04%
Average mapped length	296.23
Number of splices: Total	31643775
Number of splices: Annotated (sjdb)	31594679
Number of splices: GT/AG	31315397
Number of splices: GC/AG	271125
Number of splices: AT/AC	13438
Number of splices: Non-canonical	43815
Mismatch rate per base, %	0.43%
Deletion rate per base	0.01%
Deletion average length	1.47
Insertion rate per base	0.01%
Insertion average length	1.75
Number of reads mapped to multiple loci	1082049
% of reads mapped to multiple loci	2.86%
Number of reads mapped to too many loci	3785
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	62432
% of reads unmapped: too many mismatches	0.16%
Number of reads unmapped: too short	1475972
% of reads unmapped: too short	3.90%
Number of reads unmapped: other	11163
% of reads unmapped: other	0.03%
Number of chimeric reads	1189929
% of chimeric reads	3.14%
