Started job on	Jan 19 02:28:34
Started mapping on	Jan 19 02:58:35
Finished on	Jan 19 04:04:45
Mapping speed, Million of reads per hour	34.98
Number of input reads	38573832
Average input read length	300
Uniquely mapped reads number	35915259
Uniquely mapped reads %	93.11%
Average mapped length	296.36
Number of splices: Total	33631927
Number of splices: Annotated (sjdb)	33580458
Number of splices: GT/AG	33255509
Number of splices: GC/AG	322340
Number of splices: AT/AC	14069
Number of splices: Non-canonical	40009
Mismatch rate per base, %	0.32%
Deletion rate per base	0.01%
Deletion average length	1.43
Insertion rate per base	0.01%
Insertion average length	1.76
Number of reads mapped to multiple loci	1209588
% of reads mapped to multiple loci	3.14%
Number of reads mapped to too many loci	3136
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	52968
% of reads unmapped: too many mismatches	0.14%
Number of reads unmapped: too short	1383844
% of reads unmapped: too short	3.59%
Number of reads unmapped: other	9037
% of reads unmapped: other	0.02%
Number of chimeric reads	1360847
% of chimeric reads	3.53%
