Started job on	Jan 17 01:43:43
Started mapping on	Jan 17 03:03:21
Finished on	Jan 17 06:02:03
Mapping speed, Million of reads per hour	28.01
Number of input reads	83429234
Average input read length	300
Uniquely mapped reads number	73428422
Uniquely mapped reads %	88.01%
Average mapped length	298.24
Number of splices: Total	63537367
Number of splices: Annotated (sjdb)	63453803
Number of splices: GT/AG	62964750
Number of splices: GC/AG	479831
Number of splices: AT/AC	27018
Number of splices: Non-canonical	65768
Mismatch rate per base, %	0.22%
Deletion rate per base	0.01%
Deletion average length	1.29
Insertion rate per base	0.01%
Insertion average length	1.58
Number of reads mapped to multiple loci	8384731
% of reads mapped to multiple loci	10.05%
Number of reads mapped to too many loci	10408
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	114951
% of reads unmapped: too many mismatches	0.14%
Number of reads unmapped: too short	1458099
% of reads unmapped: too short	1.75%
Number of reads unmapped: other	32623
% of reads unmapped: other	0.04%
Number of chimeric reads	801541
% of chimeric reads	0.96%
