Started job on	Jan 16 08:23:10
Started mapping on	Jan 16 09:01:47
Finished on	Jan 16 10:09:45
Mapping speed, Million of reads per hour	42.45
Number of input reads	48091775
Average input read length	300
Uniquely mapped reads number	44720353
Uniquely mapped reads %	92.99%
Average mapped length	296.47
Number of splices: Total	39316993
Number of splices: Annotated (sjdb)	39255990
Number of splices: GT/AG	38886180
Number of splices: GC/AG	365804
Number of splices: AT/AC	17968
Number of splices: Non-canonical	47041
Mismatch rate per base, %	0.36%
Deletion rate per base	0.01%
Deletion average length	1.47
Insertion rate per base	0.01%
Insertion average length	1.73
Number of reads mapped to multiple loci	1477593
% of reads mapped to multiple loci	3.07%
Number of reads mapped to too many loci	4884
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	59281
% of reads unmapped: too many mismatches	0.12%
Number of reads unmapped: too short	1817099
% of reads unmapped: too short	3.78%
Number of reads unmapped: other	12565
% of reads unmapped: other	0.03%
Number of chimeric reads	1561331
% of chimeric reads	3.25%
