Started job on	Jan 19 13:14:23
Started mapping on	Jan 19 13:40:59
Finished on	Jan 19 14:25:00
Mapping speed, Million of reads per hour	39.17
Number of input reads	28734311
Average input read length	300
Uniquely mapped reads number	25584338
Uniquely mapped reads %	89.04%
Average mapped length	298.41
Number of splices: Total	24037377
Number of splices: Annotated (sjdb)	24003388
Number of splices: GT/AG	23813643
Number of splices: GC/AG	185808
Number of splices: AT/AC	10468
Number of splices: Non-canonical	27458
Mismatch rate per base, %	0.19%
Deletion rate per base	0.01%
Deletion average length	1.34
Insertion rate per base	0.01%
Insertion average length	1.62
Number of reads mapped to multiple loci	2711874
% of reads mapped to multiple loci	9.44%
Number of reads mapped to too many loci	3726
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	30790
% of reads unmapped: too many mismatches	0.11%
Number of reads unmapped: too short	397095
% of reads unmapped: too short	1.38%
Number of reads unmapped: other	6488
% of reads unmapped: other	0.02%
Number of chimeric reads	270189
% of chimeric reads	0.94%
