Started job on	Jan 14 07:47:14
Started mapping on	Jan 14 08:49:48
Finished on	Jan 14 11:25:36
Mapping speed, Million of reads per hour	14.37
Number of input reads	37320042
Average input read length	300
Uniquely mapped reads number	33539565
Uniquely mapped reads %	89.87%
Average mapped length	298.11
Number of splices: Total	36073203
Number of splices: Annotated (sjdb)	36030214
Number of splices: GT/AG	35736807
Number of splices: GC/AG	280167
Number of splices: AT/AC	15635
Number of splices: Non-canonical	40594
Mismatch rate per base, %	0.18%
Deletion rate per base	0.01%
Deletion average length	1.26
Insertion rate per base	0.01%
Insertion average length	1.57
Number of reads mapped to multiple loci	3048166
% of reads mapped to multiple loci	8.17%
Number of reads mapped to too many loci	6050
% of reads mapped to too many loci	0.02%
Number of reads unmapped: too many mismatches	48647
% of reads unmapped: too many mismatches	0.13%
Number of reads unmapped: too short	670227
% of reads unmapped: too short	1.80%
Number of reads unmapped: other	7387
% of reads unmapped: other	0.02%
Number of chimeric reads	473261
% of chimeric reads	1.27%
