Started job on	Jan 20 09:05:11
Started mapping on	Jan 20 09:29:03
Finished on	Jan 20 10:15:45
Mapping speed, Million of reads per hour	46.26
Number of input reads	36004036
Average input read length	300
Uniquely mapped reads number	33546500
Uniquely mapped reads %	93.17%
Average mapped length	296.59
Number of splices: Total	30263558
Number of splices: Annotated (sjdb)	30215308
Number of splices: GT/AG	29904907
Number of splices: GC/AG	307954
Number of splices: AT/AC	13498
Number of splices: Non-canonical	37199
Mismatch rate per base, %	0.25%
Deletion rate per base	0.01%
Deletion average length	1.32
Insertion rate per base	0.01%
Insertion average length	1.78
Number of reads mapped to multiple loci	1265393
% of reads mapped to multiple loci	3.51%
Number of reads mapped to too many loci	3240
% of reads mapped to too many loci	0.01%
Number of reads unmapped: too many mismatches	48959
% of reads unmapped: too many mismatches	0.14%
Number of reads unmapped: too short	1133505
% of reads unmapped: too short	3.15%
Number of reads unmapped: other	6439
% of reads unmapped: other	0.02%
Number of chimeric reads	1303323
% of chimeric reads	3.62%
